                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      9,                 1.8402,                 2.3647,                 1.5042,                0.30657,                0.23529,                0.14752,                0.06751,                 1.8939,                 2.2307,                 1.6888,             0.00014673,             0.00014673,             0.00014673
                     10,                 1.8524,                 2.3345,                 1.5649,                0.38369,                0.23529,                0.17649,                0.07597,                  1.827,                 2.0678,                 1.6929,             0.00015055,             0.00015055,             0.00015055
                     11,                 1.8001,                 2.2773,                 1.5939,                0.35352,                0.23529,                0.15301,                0.07228,                 1.7184,                 1.8822,                 1.6253,             0.00015155,             0.00015155,             0.00015155
                     12,                 1.5869,                 1.9038,                  1.546,                0.35352,                0.23529,                0.15301,                0.07228,                 1.7184,                 1.8822,                 1.6253,             0.00014971,             0.00014971,             0.00014971
                     13,                 1.5938,                 2.0425,                 1.4205,                 0.3808,                0.23529,                0.17988,                 0.0613,                 1.6413,                 1.7449,                 1.6003,             0.00014504,             0.00014504,             0.00014504
                     14,                 1.5125,                 1.8587,                 1.4308,                0.51441,                0.23529,                0.18923,                0.06953,                 1.5763,                  1.627,                 1.6051,             0.00013755,             0.00013755,             0.00013755
                     15,                 1.4007,                 1.7113,                 1.3705,                0.51441,                0.23529,                0.18923,                0.06953,                 1.5763,                  1.627,                 1.6051,             0.00012722,             0.00012722,             0.00012722
                     16,                 1.4707,                 1.7211,                 1.3917,                0.62654,                0.23529,                0.20646,                 0.0613,                 1.5306,                 1.5496,                 1.6022,             0.00011407,             0.00011407,             0.00011407
                     17,                 1.4813,                 1.6606,                 1.4152,                0.57008,                0.35294,                0.33846,                0.11108,                 1.4945,                 1.4908,                 1.6219,             9.8087e-05,             9.8087e-05,             9.8087e-05
                     18,                 1.3397,                 1.4722,                 1.3781,                0.56923,                0.23529,                0.22808,                0.07274,                 1.4945,                 1.4908,                 1.6219,             7.9274e-05,             7.9274e-05,             7.9274e-05
                     19,                 1.4395,                  1.567,                  1.383,                0.56612,                0.35294,                0.34469,                0.15601,                  1.466,                 1.4558,                 1.6406,             5.7632e-05,             5.7632e-05,             5.7632e-05
                     20,                 1.3312,                 1.5502,                  1.372,                0.56612,                0.35294,                0.34469,                0.15601,                  1.466,                 1.4558,                 1.6406,              3.316e-05,              3.316e-05,              3.316e-05
                      1,                 3.6209,                 4.2873,                 2.7045,                 0.0117,                0.11765,                0.00808,                0.00218,                 4.0417,                 4.2697,                  2.614,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2229,                 3.9702,                 2.6102,                 0.0112,                0.11765,                0.00826,                0.00299,                 4.0224,                 4.1686,                 2.5443,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 3.2517,                 3.9255,                 2.3368,                0.01099,                0.11765,                0.00972,                0.00379,                  3.777,                 3.9406,                 2.4135,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                 2.7851,                 3.9165,                 2.0632,                0.00779,                0.08824,                0.01786,                0.00228,                 3.4112,                 3.6783,                 2.2617,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                 2.4736,                 3.3623,                  1.861,                0.00993,                0.11765,                0.03316,                0.00529,                 3.0516,                 3.5497,                 2.1868,              7.768e-05,              7.768e-05,              7.768e-05
